Sequence	BIPA
E_^	ɛ̯
7_^	ɤ̯
ts	ts
dz	dz
tS_w	tʃ
dZ	dʒ
kp	kp
gb	gb
ts_h	tsʰ
tS_w_h	tʃʰ
k_w[?]_h	kʷʰ
ts_>	tsʼ
tS_w_>	tʃʼ
c_x	ç
h_w[?]	hʷ
j~	j̃
n:	nː
_nb	ⁿb
_ndZ	ⁿdʒ
_nJ\	ⁿɟ
_ng	ⁿg
_np	ⁿp
_nc	ⁿc
_nk	ⁿk
_nf	ⁿf
_nv	ⁿv
_ns	ⁿs
_nz	ⁿz
_nZ	ⁿʒ
_nx	ⁿx
_nw	ⁿw
_htS_w	ʰtʃ
_hr	ʰr
ai	ai
ei	ei
oi	oi
Oi	ɔi
ui	ui
@i	əi
au	au
Ou	ɔu
ou	ou
9y	œy
E@	ɛə
i@	iə
u@	uə
@	ə
g	g
a	a
i_X	ĭ
e:\	eˑ
i:\	iˑ
u_X	ŭ
a:	aː
E:\	ɛˑ
O:\	ɔˑ
u:\	uˑ
ø:\	øˑ
f_v	f̬
y:\	yˑ
m_=	m̩
A:\	ɑˑ
U:\	ʊˑ
9:\	œˑ
i~	ĩ
E_r	ɛ̝
i:@_X	iːə̆
ts_j	tsʲ
ts_j	tsʲ
I:\	ɪˑ
E_o	ɛ̞
I_o	ɪ̞
y_X	y̆
y_X	y̆
@~	ə̃
@~	ə̃
o_o:\	o̞ˑ
o_r:\	o̝ˑ
n:\	nˑ
ø_o:\	ø̞ˑ
n_=:	n̩ː
n_=:	n̩ː
Ei	ɛi
a~	ã
e_r:\	e̝ˑ
u_o:\	u̞ˑ
y:@_X	yːə̆
m:\	mˑ
N:\	ŋˑ
Y:\	ʏˑ
Y:\	ʏˑ
u:@_X	uːə̆
e_o:@_X	e̞ːə̆
I_X	ɪ̆
O_r:\	ɔ̝ˑ
O_o:\	ɔ̞ˑ
@~_X	ə̃̆
@~_X	ə̃̆
U~:\	ʊ̃ˑ
I@	ɪə
o_o:@_X	o̞ːə̆
E_r:\	ɛ̝ˑ
i_o	i̞
E_o:\	ɛ̞ˑ
e:@_X	eːə̆
u_o	u̞
y_o	y̞
i^V:\	îˑ
A_r	ɑ̝
A:\_+	ɑˑ̟
U_o	ʊ̞
o@	oə
u^V:\	ûˑ
9y_X	œy̆
I_r	ɪ̝
Y_o	ʏ̞
{i	æi
G_-	ɣ̠
A_r:\	ɑ̝ˑ
Y:	ʏː
i_o:\	i̞ˑ
y_o:\	y̞ˑ
O_r	ɔ̝
m_=:	m̩ː
au	au
{_r:\	æ̝ˑ
i~:\	ĩˑ
e@	eə
e@	eə
I_r:\	ɪ̝ˑ
{_o:\	æ̞ˑ
A:_+	ɑː̟
O_o	ɔ̞
i@_X	iə̆
E_r:	ɛ̝ː
a:_+	aː̟
k_h:	kʰː
k_h:	kʰː
aI	aɪ
t_h:	tʰː
t_h:	tʰː
y_o:	y̞ː
ø_o:@_X	ø̞ːə̆
{_r	æ̝
t_o	t̞
x_v	x̬
o_O:\	o̹ˑ
U_X	ʊ̆
EI	ɛɪ
y@	yə
e_r:	e̝ː
O_r:	ɔ̝ː
i~:	ĩː
u^V:	ûː
x_-	x̠
U_o:\	ʊ̞ˑ
A_X	ɑ̆
u@_X	uə̆
eI	eɪ
ai	ai
a_r:\	a̝ˑ
o_c:\	o̜ˑ
ø_r:\	ø̝ˑ
O@	ɔə
o^V:\	ôˑ
Ai	ɑi
a:\_+	aˑ̟
U_r	ʊ̝
9_r:\	œ̝ˑ
aU	aʊ
u_c:\	u̜ˑ
o~:	õː
A~:\	ɑ̃ˑ
e^V:\	êˑ
o_r	o̝
U_r:\	ʊ̝ˑ
u~	ũ
ø~:\	ø̃ˑ
Au	ɑu
i^V:	îː
O_+	ɔ̟
I@_X	ɪə̆
O@_X	ɔə̆
ia	ia
i_o:	i̞ː
u:@	uːə
o~	õ
I_o:\	ɪ̞ˑ
e~:\	ẽˑ
O~:\	ɔ̃ˑ
o:A	oːɑ
O_c:\	ɔ̜ˑ
e^V:	êː
k_o	k̞
E_X	ɛ̆
E_o:	ɛ̞ː
i:@	iːə
L:	ʎː
y~:	ỹː
O^V:\	ɔ̂ˑ
a_r	a̝
ts_h	tsʰ
o:@	oːə
E~i~	ɛ̃ĩ
o:@_X	oːə̆
o^V:	ôː
E@_X	ɛə̆
Y_r	ʏ̝
U@	ʊə
a~:	ãː
r_-	r̠
o_r:	o̝ː
t:\	tˑ
iE	iɛ
O_o:	ɔ̞ː
G_+	ɣ̟
O_-	ɔ̠
{_o	æ̞
A:@_X	ɑːə̆
9i	œi
A^V:\	ɑ̂ˑ
a^V:\	âˑ
Y_+	ʏ̟
ø_r:	ø̝ː
y^V:	ŷː
u~:\	ũˑ
I~:\	ɪ̃ˑ
ie	ie
e_r	e̝
e~	ẽ
{I	æɪ
{_X	æ̆
x_+	x̟
U^V:\	ʊ̂ˑ
u_c	u̜
u_o~	ũ̞
Y_-	ʏ̠
u~:	ũː
O^V:	ɔ̂ː
o@_X	oə̆
U:@_X	ʊːə̆
øy	øy
A^V	ɑ̂
O_X	ɔ̆
{~:\	æ̃ˑ
y_-	y̠
O:@_X	ɔːə̆
e~:	ẽː
o6	oɐ
l:\	lˑ
e:@	eːə
@:\	əˑ
y@_X	yə̆
Ii	ɪi
E^V:\	ɛ̂ˑ
E^V:	ɛ̂ː
@`	ə˞
E_-	ɛ̠
K	ɬ
u_o_c	u̞̜
o_O	o̹
ø_O:\	ø̹ˑ
9_-	œ̠
iA	iɑ
x:	xː
u_o:	u̞ː
ts\_h	tɕʰ
E:@_X	ɛːə̆
ø:@_X	øːə̆
AI	ɑɪ
O:@	ɔːə
